year,council,income,Roading,Transportation,Water supply,Wastewater,Solid waste/refuse,Environmental protection,Culture,Recreation and sport,Property,Emergency management,Planning and regulation,Community development,Economic development,Governance,Council support services,Other activities,Total
2014,Ashburton District Council,Rates,7093,0,3899,4751,1444,0,2036,3363,-973,470,1366,912,605,1718,117,0,26801
2014,Ashburton District Council,Regulatory income and petrol tax,321,62,369,443,804,0,0,0,0,0,3529,0,0,0,0,0,5528
2014,Ashburton District Council,"Current grants, subsidies, and donations income",1648,0,0,0,0,0,0,20,3,59,0,5,0,0,0,0,1735
2014,Ashburton District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,0,905
2014,Ashburton District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,0,936
2014,Ashburton District Council,Sales and other operating income,227,41,0,0,1632,0,145,835,1037,34,0,65,7363,112,0,0,11491
2014,Ashburton District Council,Total operating income,9289,103,4268,5194,3880,0,2181,4218,67,563,4895,982,7968,1830,1958,0,47396
2014,Ashburton District Council,Employee costs,1439,47,0,85,0,0,410,1282,0,72,1851,16,544,374,3024,0,9144
2014,Ashburton District Council,Depreciation and amortisation,6174,0,1363,1717,106,0,121,411,4,11,14,275,161,0,0,0,10357
2014,Ashburton District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,621,840,0,0,0,0,555,0,457,0,2473
2014,Ashburton District Council,Interest expenditure,0,0,86,853,0,0,137,286,281,0,12,0,307,0,0,0,1962
2014,Ashburton District Council,Purchases and other operating expenditure,2570,110,2042,1913,2947,0,146,2061,680,316,1914,1003,3294,1123,1104,0,21223
2014,Ashburton District Council,Total operating expenditure,10183,157,3491,4568,3053,0,1435,4880,965,399,3791,1294,4861,1497,4585,0,45159
2014,Ashburton District Council,Operating surplus/deficit,-894,-54,777,626,827,0,746,-662,-898,164,1104,-312,3107,333,-2627,0,2237
2014,Auckland Council,Rates,0,10,0,0,0,0,0,0,0,0,6,0,0,0,1393350,0,1393366
2014,Auckland Council,Regulatory income and petrol tax,0,0,0,0,-1,-2,1480,27,0,5,101362,0,0,1,16947,200,120019
2014,Auckland Council,"Current grants, subsidies, and donations income",0,2473,0,0,5004,0,1321,3762,24,40,0,1783,0,339,0,79,14825
2014,Auckland Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65722,0,65722
2014,Auckland Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163251,0,163251
2014,Auckland Council,Sales and other operating income,0,63,0,69,21278,599,3302,36419,53055,500,32056,3812,46,1633,62714,1574,217120
2014,Auckland Council,Total operating income,0,2546,0,69,26281,597,6103,40208,53079,545,133424,5595,46,1973,1701984,1853,1974303
2014,Auckland Council,Employee costs,0,850,0,8123,5808,6725,53036,58483,2316,3321,126901,18638,6750,18387,139074,13665,462077
2014,Auckland Council,Depreciation and amortisation,0,0,0,45771,1489,332,19105,60833,309,522,1559,1072,3708,57,67110,140,202007
2014,Auckland Council,"Current grants, subsidies, and donations expenditure",87438,142701,0,33,485,-20,75846,17923,7052,191,219,11703,67532,3646,13049,822,428620
2014,Auckland Council,Interest expenditure,61156,77096,17659,23429,96,4538,11742,26872,-1661,102,9371,1553,19890,820,14573,11664,278900
2014,Auckland Council,Purchases and other operating expenditure,0,601,0,39029,67305,6828,22577,116580,21867,2102,41298,17094,8452,20536,92047,11077,467393
2014,Auckland Council,Total operating expenditure,148594,221248,17659,116385,75183,18403,182306,280691,29883,6238,179348,50060,106332,43446,325853,37368,1838997
2014,Auckland Council,Operating surplus/deficit,-148594,-218702,-17659,-116316,-48902,-17806,-176203,-240483,23196,-5693,-45924,-44465,-106286,-41473,1376131,-35515,135306
2014,Auckland Transport,Rates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Auckland Transport,Regulatory income and petrol tax,8519,34667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43186
2014,Auckland Transport,"Current grants, subsidies, and donations income",31007,178408,0,0,0,0,0,0,0,0,0,0,0,0,0,304212,513627
2014,Auckland Transport,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,175
2014,Auckland Transport,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Auckland Transport,Sales and other operating income,3670,91931,0,0,0,0,0,0,0,0,0,0,0,0,0,10236,105837
2014,Auckland Transport,Total operating income,43196,305006,0,0,0,0,0,0,0,0,0,0,0,0,175,314448,662825
2014,Auckland Transport,Employee costs,11969,33407,0,0,0,0,0,0,0,0,0,0,0,0,0,34187,79563
2014,Auckland Transport,Depreciation and amortisation,208064,61271,0,0,0,0,0,0,0,0,0,0,0,0,0,5583,274918
2014,Auckland Transport,"Current grants, subsidies, and donations expenditure",-3,246533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246530
2014,Auckland Transport,Interest expenditure,0,13614,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13617
2014,Auckland Transport,Purchases and other operating expenditure,101671,85396,0,0,0,0,0,0,0,0,0,0,0,0,80,53816,240963
2014,Auckland Transport,Total operating expenditure,321701,440221,0,0,0,0,0,0,0,0,0,0,0,0,80,93589,855591
2014,Auckland Transport,Operating surplus/deficit,-278505,-135215,0,0,0,0,0,0,0,0,0,0,0,0,95,220859,-192766
2014,Bay of Plenty Regional Council,Rates,0,5036,0,0,4,18093,0,221,0,399,1274,448,210,5508,513,0,31706
2014,Bay of Plenty Regional Council,Regulatory income and petrol tax,0,0,0,0,1167,890,0,0,0,0,2091,0,0,0,0,0,4148
2014,Bay of Plenty Regional Council,"Current grants, subsidies, and donations income",0,6765,0,0,301,697,0,0,0,0,0,0,0,0,0,0,7763
2014,Bay of Plenty Regional Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11289,0,11289
2014,Bay of Plenty Regional Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14705,0,14705
2014,Bay of Plenty Regional Council,Sales and other operating income,0,2564,0,0,296,3912,0,13,0,450,59,13,75,231,1765,0,9378
2014,Bay of Plenty Regional Council,Total operating income,0,14365,0,0,1768,23592,0,234,0,849,3424,461,285,5739,28272,0,78989
2014,Bay of Plenty Regional Council,Employee costs,0,591,0,0,1585,6413,0,75,0,580,1738,212,87,6371,8299,0,25951
2014,Bay of Plenty Regional Council,Depreciation and amortisation,0,59,0,0,0,1506,0,17,0,10,12,0,0,7,3857,0,5468
2014,Bay of Plenty Regional Council,"Current grants, subsidies, and donations expenditure",0,29,0,0,28,1034,0,2,0,9,22,4967,37,353,618,0,7099
2014,Bay of Plenty Regional Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34
2014,Bay of Plenty Regional Council,Purchases and other operating expenditure,0,14048,0,0,1585,15742,0,295,0,275,1819,608,461,4170,8789,0,47792
2014,Bay of Plenty Regional Council,Total operating expenditure,0,14727,0,0,3198,24695,0,389,0,874,3591,5787,585,10901,21597,0,86344
2014,Bay of Plenty Regional Council,Operating surplus/deficit,0,-362,0,0,-1430,-1103,0,-155,0,-25,-167,-5326,-300,-5162,6675,0,-7355
2014,Buller District Council,Rates,0,0,2031,2181,737,0,0,0,0,0,0,0,285,0,7505,0,12739
2014,Buller District Council,Regulatory income and petrol tax,177,0,0,0,0,0,0,0,0,0,937,0,0,0,158,0,1272
2014,Buller District Council,"Current grants, subsidies, and donations income",2385,0,0,0,31,0,0,0,2,0,0,39,0,0,280,0,2737
2014,Buller District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,759
2014,Buller District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,641
2014,Buller District Council,Sales and other operating income,0,57,216,44,563,0,110,20,1405,15,0,0,17,30,37,207,2721
2014,Buller District Council,Total operating income,2562,57,2247,2225,1331,0,110,20,1407,15,937,39,302,30,9380,207,20869
2014,Buller District Council,Employee costs,0,4,0,0,0,0,247,0,394,43,921,64,0,252,1852,459,4236
2014,Buller District Council,Depreciation and amortisation,2435,54,647,860,0,0,178,113,574,56,16,0,18,0,184,121,5256
2014,Buller District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,6,0,0,0,0,167,286,0,81,0,540
2014,Buller District Council,Interest expenditure,0,0,56,0,103,0,63,969,84,0,0,0,0,0,230,0,1505
2014,Buller District Council,Purchases and other operating expenditure,3317,39,892,919,1728,0,67,1433,1423,68,397,33,150,157,801,179,11603
2014,Buller District Council,Total operating expenditure,5752,97,1595,1779,1831,0,561,2515,2475,167,1334,264,454,409,3148,759,23140
2014,Buller District Council,Operating surplus/deficit,-3190,-40,652,446,-500,0,-451,-2495,-1068,-152,-397,-225,-152,-379,6232,-552,-2271
2014,Canterbury Regional Council,Rates,0,20042,0,0,0,44622,0,0,0,1293,6666,0,0,10487,838,0,83948
2014,Canterbury Regional Council,Regulatory income and petrol tax,0,0,0,0,0,0,0,0,0,0,8365,0,0,0,0,0,8365
2014,Canterbury Regional Council,"Current grants, subsidies, and donations income",0,23488,0,0,0,4025,0,0,0,142,235,0,0,82,0,0,27972
2014,Canterbury Regional Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1483,0,1483
2014,Canterbury Regional Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Canterbury Regional Council,Sales and other operating income,0,18757,0,0,0,11039,0,0,0,249,782,0,0,598,0,944,32369
2014,Canterbury Regional Council,Total operating income,0,62287,0,0,0,59686,0,0,0,1684,16048,0,0,11167,2321,944,154137
